Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:2:4.280	-0.5303	-0.1421	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.300	-0.5298	-0.1421	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.320	-0.5303	-0.1421	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.340	-0.5308	-0.1426	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.360	-0.5308	-0.1421	0.834	0.0	0.0	0.0	-9.344	32.146	-3.093	28.59	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.380	-0.5298	-0.1421	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.59	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.400	-0.5308	-0.1421	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.420	-0.5298	-0.1421	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.440	-0.5303	-0.1421	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.460	-0.5303	-0.1421	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.55	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.480	-0.5298	-0.1411	0.8345	0.0	0.0	0.0	-9.344	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.500	-0.5303	-0.1416	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.520	-0.5298	-0.1416	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.59	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.540	-0.5298	-0.1426	0.8345	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.560	-0.5303	-0.1421	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.6	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.580	-0.5303	-0.1426	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.59	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.600	-0.5308	-0.1426	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.620	-0.5298	-0.1416	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.640	-0.5298	-0.1416	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.660	-0.5298	-0.1406	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.680	-0.5303	-0.1416	0.8345	0.0	0.0	0.0	-9.344	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.700	-0.5308	-0.1421	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.6	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.720	-0.5303	-0.1421	0.8345	0.0	0.0	0.0	-9.344	32.146	-3.093	28.59	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.740	-0.5298	-0.1426	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.760	-0.5308	-0.1416	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.780	-0.5303	-0.1421	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.55	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.800	-0.5308	-0.1416	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.820	-0.5303	-0.1416	0.8345	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.840	-0.5303	-0.1416	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
 2000-0-0 0:2:4.860	-0.5298	-0.1421	0.8345	0.0	0.0	0.0	-9.344	32.146	-3.093	28.6	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00259
