count,T_count,sum_leg,reflex,on_reflex_,reflex_index,traj_error
4,0,[22.  0.  0. 50. 14.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 1.  2.  1.  0.  0.  0.  0.  0.  0. -1. 12. -1.  0.  2. -2.  0.  0.  0.]
5,0,[21.  0.  0. 50. 14.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3.  1. -2.  0.  0.  1.  0.  0.  0. 11. -1.  0.  2. -2. -1.  0. -1.]
6,0,[15.  0.  0. 46. 15.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2.  2. -4.  0.  1.  2.  0.  0.  1. 12. -1. -2.  2. -2. -2.  0.  1.]
7,0,[15.  0.  0. 47. 16.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-4.  2.  1. -4.  0.  0.  4.  0. -1.  1. 12.  0. -4.  2. -2. -3. -1.  0.]
8,0,[14.  0.  0. 47. 16.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-4.  2.  2. -4.  0. -1.  3.  0.  0.  2. 11.  0. -4.  1. -2. -3.  0.  0.]
9,0,[27. 14. 10. 46. 15.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-6.  2.  2. -5.  0.  0.  4.  0.  0.  3. 11. -1. -6.  2. -2. -4. -1.  0.]
10,0,[32. 17. 13. 53. 31. 12.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-6.  3.  2. -5.  0.  1.  6.  0. -1.  2. 11.  0. -6.  2. -2. -4.  0. -1.]
11,0,[36. 18. 17. 53. 35. 14.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  2.  2. -5.  1. -1.  4.  0.  0.  2. 12. -1. -6.  2. -2. -5.  1. -1.]
12,0,[38. 19. 17. 54. 37. 16.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  2.  1. -4. -1.  1.  3.  0.  0.  3. 10. -1. -5.  2. -3. -5.  0.  1.]
13,0,[38. 19. 17. 54. 40. 18.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  3.  1. -5.  0.  0.  4.  0.  0.  3. 12.  0. -6.  2. -2. -3.  0. -1.]
14,0,[37. 19. 17. 55. 40. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  4.  2. -4.  0.  0.  4. -1.  1.  3. 11. -1. -6.  2. -2. -4.  0.  0.]
15,0,[37. 18. 15. 56. 40. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-6.  3.  2. -4. -1.  1.  3.  0.  0.  3. 11.  0. -7.  2. -2. -4.  0.  0.]
16,0,[39. 17. 14. 56. 41. 16.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  2.  2. -4. -1.  0.  4.  0.  0.  4. 12. -1. -7.  1. -3. -3.  0.  0.]
17,0,[40. 17. 15. 59. 42. 14.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  3.  2. -3. -1. -1.  4.  0.  0.  3. 12. -1. -7.  2. -2. -4. -1.  0.]
18,0,[41. 15. 15. 59. 43. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-5.  3.  2. -4.  0.  0.  3.  0.  0.  5. 12. -1. -7.  2. -2. -3. -1.  0.]
19,0,[40. 15. 14. 62. 44. 14.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-4.  2.  1. -3.  0.  0.  5.  0.  1.  4. 12. -1. -7.  2. -2. -5.  0. -1.]
20,0,[36. 14. 16. 68. 44. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3.  2. -2.  0.  0.  1.  0.  0.  3. 12. -1. -5.  2. -2. -3.  0. -2.]
21,0,[33. 12. 13. 67. 42. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  3.  2. -2. -1.  0.  2.  0.  1.  4. 12. -1. -8.  1. -2. -2. -1.  0.]
22,0,[31. 11. 11. 68. 42. 13.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2.  2. -3.  0.  0.  3.  0.  1.  3. 10. -1. -7.  2. -2. -3.  0.  0.]
23,0,[27. 10. 11. 64. 42. 13.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  3.  2. -2. -1.  0.  3.  0.  0.  4. 11. -1. -7.  2. -2. -2.  0.  0.]
24,0,[27.  9.  9. 63. 42. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  3.  2. -3.  0.  1.  4.  0. -1.  3. 12. -1. -7.  2. -2. -3.  0. -1.]
25,0,[19. 10. 12. 63. 44. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 1.  3.  2. -3.  0.  0.  3.  0.  0.  3. 12. -1. -7.  2. -2. -4.  0.  0.]
26,0,[19. 11. 13. 62. 44. 12.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  3.  2. -3.  0.  0.  3.  0.  0.  3. 12.  0. -7.  2. -2. -2.  0.  0.]
