count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[28.  9. 15. 32. 15. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2049. 2239.  925. 2049. 2115. 1057. 2046. 2115. 1057. 2047. 2231.  923.
 2048. 2237.  924. 2049. 2115. 1057.]","[2048. 2236.  928. 2049. 2114. 1058. 2044. 2114. 1058. 2046. 2229.  927.
 2047. 2237.  926. 2049. 2114. 1058.]","[-3.1900e-01 -3.9000e-01  5.7783e+01  0.0000e+00  0.0000e+00  0.0000e+00
  9.3000e-03 -1.0700e-02  9.9850e-01]"
5,0,[27.  9. 14. 30. 14.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2050. 2239.  925. 2050. 2115. 1057. 2045. 2115. 1057. 2047. 2232.  923.
 2049. 2237.  924. 2051. 2115. 1057.]","[2050. 2236.  928. 2051. 2113. 1058. 2043. 2113. 1058. 2045. 2229.  927.
 2049. 2237.  926. 2051. 2113. 1058.]","[-3.1900e-01 -3.9000e-01  5.7783e+01  0.0000e+00  0.0000e+00  0.0000e+00
  9.3000e-03 -1.0700e-02  9.9850e-01]"
6,0,[25. 10. 16. 31.  8. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2051. 2239.  925. 2052. 2115. 1056. 2043. 2115. 1057. 2046. 2231.  922.
 2051. 2237.  924. 2052. 2115. 1057.]","[2052. 2236.  928. 2053. 2113. 1058. 2042. 2114. 1058. 2044. 2229.  927.
 2051. 2237.  926. 2054. 2114. 1058.]","[-3.1300e-01 -3.9000e-01  5.7783e+01  6.1000e-02 -6.1000e-02  0.0000e+00
  1.7600e-02 -3.4000e-03  1.0054e+00]"
7,0,[25. 11. 16. 32.  8. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2053. 2239.  925. 2054. 2115. 1057. 2041. 2115. 1057. 2044. 2231.  922.
 2053. 2237.  924. 2054. 2115. 1057.]","[2054. 2236.  929. 2056. 2114. 1058. 2039. 2114. 1058. 2042. 2229.  926.
 2053. 2237.  926. 2056. 2114. 1058.]","[-3.1300e-01 -3.9000e-01  5.7783e+01  6.1000e-02 -6.1000e-02  0.0000e+00
  1.7600e-02 -3.4000e-03  1.0054e+00]"
8,0,[25. 11. 16. 33.  8.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2055. 2239.  925. 2056. 2116. 1057. 2039. 2116. 1057. 2042. 2232.  922.
 2055. 2237.  924. 2057. 2115. 1057.]","[2057. 2236.  929. 2058. 2114. 1058. 2036. 2114. 1057. 2039. 2229.  927.
 2055. 2237.  926. 2059. 2114. 1058.]","[-3.0800e-01 -3.9600e-01  5.7777e+01  2.4410e-01 -1.2210e-01 -4.2720e-01
  1.3200e-02  2.8300e-02  9.9410e-01]"
9,0,[26. 18. 14. 37.  8.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],6,"[2057. 2239.  925. 2058. 2116. 1056. 2037. 2116. 1057. 2040. 2232.  922.
 2057. 2237.  924. 2059. 2115. 1057.]","[2059. 2237.  929. 2060. 2113. 1057. 2034. 2114. 1057. 2037. 2229.  927.
 2057. 2237.  926. 2061. 2114. 1058.]","[-3.0200e-01 -3.9600e-01  5.7772e+01  2.4410e-01 -1.2210e-01 -4.2720e-01
  1.3200e-02  2.8300e-02  9.9410e-01]"
10,0,[32. 20. 15. 39.  8. 16.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],7,"[2060. 2239.  925. 2060. 2116. 1056. 2034. 2115. 1057. 2037. 2231.  923.
 2058. 2237.  924. 2061. 2115. 1057.]","[2062. 2236.  929. 2063. 2114. 1057. 2032. 2114. 1057. 2034. 2229.  926.
 2060. 2237.  926. 2063. 2114. 1058.]","[-2.9700e-01 -4.0100e-01  5.7761e+01  1.2210e-01 -1.8310e-01 -5.4930e-01
 -5.4000e-03  5.4700e-02  1.0044e+00]"
11,0,[34. 21. 16. 38.  8. 16.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],8,"[2061. 2239.  925. 2063. 2115. 1057. 2032. 2115. 1057. 2034. 2231.  923.
 2061. 2237.  924. 2063. 2115. 1057.]","[2065. 2237.  928. 2065. 2114. 1057. 2029. 2114. 1057. 2031. 2229.  927.
 2062. 2237.  926. 2065. 2114. 1058.]","[-2.8000e-01 -4.0600e-01  5.7744e+01  0.0000e+00  0.0000e+00 -2.4410e-01
 -1.0000e-03  6.2000e-02  9.8440e-01]"
12,0,[35. 17. 17. 39.  8. 16.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],9,"[2064. 2239.  925. 2065. 2116. 1056. 2029. 2116. 1057. 2032. 2231.  923.
 2064. 2237.  924. 2067. 2115. 1057.]","[2067. 2236.  928. 2068. 2114. 1057. 2026. 2114. 1057. 2028. 2229.  927.
 2065. 2237.  926. 2070. 2114. 1057.]","[-2.6900e-01 -4.0600e-01  5.7739e+01  0.0000e+00  0.0000e+00 -2.4410e-01
 -1.0000e-03  6.2000e-02  9.8440e-01]"
13,0,[35. 18. 17. 38.  8. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],10,"[2067. 2240.  925. 2068. 2115. 1056. 2027. 2115. 1057. 2029. 2231.  922.
 2066. 2237.  924. 2069. 2115. 1057.]","[2071. 2236.  928. 2071. 2114. 1057. 2023. 2114. 1057. 2025. 2229.  927.
 2068. 2237.  926. 2072. 2114. 1057.]","[-2.5800e-01 -4.0100e-01  5.7739e+01 -1.2210e-01  1.2210e-01  6.1000e-02
  4.9000e-03  5.3200e-02  1.0015e+00]"
14,0,[38. 17. 17. 38. 14. 14.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],11,"[2070. 2239.  925. 2070. 2116. 1057. 2024. 2116. 1057. 2027. 2231.  923.
 2069. 2237.  924. 2072. 2115. 1057.]","[2074. 2236.  928. 2074. 2114. 1056. 2021. 2114. 1057. 2022. 2229.  927.
 2071. 2237.  926. 2075. 2115. 1057.]","[-2.5300e-01 -4.0100e-01  5.7739e+01 -1.2210e-01  1.2210e-01  6.1000e-02
  4.9000e-03  5.3200e-02  1.0015e+00]"
15,0,[39. 18. 19. 41. 14. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],12,"[2072. 2240.  925. 2073. 2116. 1056. 2021. 2116. 1057. 2023. 2232.  923.
 2072. 2237.  924. 2075. 2116. 1056.]","[2078. 2236.  929. 2077. 2115. 1056. 2018. 2115. 1057. 2017. 2229.  927.
 2074. 2237.  926. 2078. 2115. 1056.]","[-2.4200e-01 -3.9600e-01  5.7744e+01 -2.4410e-01  6.1000e-02  3.0520e-01
  1.3200e-02  3.1200e-02  9.9020e-01]"
16,0,[44. 20. 19. 45. 15. 12.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],13,"[2076. 2239.  925. 2076. 2116. 1056. 2018. 2116. 1056. 2020. 2232.  923.
 2075. 2237.  924. 2077. 2116. 1057.]","[2081. 2236.  928. 2079. 2115. 1056. 2014. 2115. 1056. 2011. 2229.  927.
 2078. 2237.  926. 2081. 2115. 1056.]","[-2.360e-01 -3.960e-01  5.775e+01 -2.441e-01  6.100e-02  3.052e-01
  1.320e-02  3.120e-02  9.902e-01]"
