count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[32.  4.  9. 32. 20. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2059. 2243.  928. 2059. 1984. 1187. 2036. 1984. 1187. 2036. 2243.  928.
 2059. 2243.  928. 2059. 1984. 1187.]","[2048. 2236.  930. 2048. 2115. 1058. 2046. 2114. 1059. 2044. 2229.  925.
 2044. 2238.  924. 2049. 2113. 1058.]","[-1.0880e+00 -8.4100e+00 -9.3576e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.4790e-01 -2.4400e-02  9.8780e-01]",112
5,0,[32.  4.  8. 30. 20. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2062. 2243.  928. 2062. 1984. 1187. 2033. 1984. 1187. 2033. 2243.  928.
 2062. 2243.  928. 2062. 1984. 1187.]","[2050. 2236.  929. 2050. 2114. 1058. 2044. 2114. 1059. 2043. 2229.  925.
 2045. 2239.  924. 2050. 2114. 1058.]","[-1.0880e+00 -8.4100e+00 -9.3576e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.4840e-01 -2.6400e-02  9.8730e-01]",112
6,0,[31.  4.  8. 31. 21.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2065. 2243.  928. 2065. 1984. 1187. 2030. 1984. 1187. 2030. 2243.  928.
 2065. 2243.  928. 2065. 1984. 1187.]","[2052. 2236.  930. 2052. 2115. 1058. 2043. 2114. 1059. 2041. 2229.  925.
 2047. 2239.  924. 2053. 2114. 1059.]","[-1.0880e+00 -8.4100e+00 -9.3576e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.4840e-01 -2.6400e-02  9.8730e-01]",112
7,0,[32.  5.  8. 33. 22. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2067. 2243.  928. 2067. 1985. 1186. 2028. 1985. 1186. 2028. 2243.  928.
 2067. 2243.  928. 2067. 1985. 1186.]","[2054. 2236.  930. 2055. 2114. 1058. 2040. 2115. 1058. 2040. 2229.  925.
 2050. 2239.  924. 2055. 2114. 1059.]","[-1.0880e+00 -8.4100e+00 -9.3576e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.5430e-01 -9.8000e-03  9.9610e-01]",112
8,0,[31.  5.  7. 35. 22. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2070. 2243.  928. 2070. 1985. 1186. 2025. 1985. 1186. 2025. 2243.  928.
 2070. 2243.  928. 2070. 1985. 1186.]","[2056. 2236.  929. 2057. 2115. 1058. 2038. 2115. 1058. 2039. 2229.  925.
 2052. 2238.  924. 2058. 2114. 1058.]","[-1.0880e+00 -8.4160e+00 -9.3576e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.5430e-01 -9.8000e-03  9.9610e-01]",112
9,0,[30.  5.  6. 37. 21. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],6,"[2073. 2243.  928. 2073. 1985. 1186. 2022. 1985. 1186. 2022. 2243.  928.
 2073. 2243.  928. 2073. 1985. 1186.]","[2058. 2236.  929. 2059. 2115. 1058. 2036. 2115. 1058. 2036. 2229.  925.
 2055. 2239.  924. 2060. 2114. 1058.]","[-1.0710e+00 -8.4160e+00 -9.3587e+01  4.2720e-01 -1.8310e-01 -3.6620e-01
  1.4840e-01  2.2900e-02  9.9850e-01]",112
10,0,[34.  6.  5. 38. 19. 14.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],7,"[2076. 2243.  928. 2076. 1986. 1185. 2019. 1986. 1185. 2019. 2243.  928.
 2076. 2243.  928. 2076. 1986. 1185.]","[2061. 2236.  930. 2062. 2115. 1058. 2033. 2115. 1058. 2033. 2229.  925.
 2058. 2238.  924. 2062. 2114. 1058.]","[-1.0600e+00 -8.4210e+00 -9.3593e+01  4.2720e-01 -1.8310e-01 -3.6620e-01
  1.4840e-01  2.2900e-02  9.9850e-01]",112
11,0,[34. 15.  8. 36.  6. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],8,"[2079. 2243.  928. 2079. 1986. 1185. 2016. 1986. 1185. 2016. 2243.  928.
 2079. 2243.  928. 2079. 1986. 1185.]","[2064. 2236.  930. 2064. 2115. 1058. 2030. 2115. 1058. 2031. 2229.  925.
 2059. 2238.  924. 2065. 2114. 1058.]","[-1.0490e+00 -8.4270e+00 -9.3604e+01  3.6620e-01 -1.8310e-01 -4.8830e-01
  1.3770e-01  3.9100e-02  9.6040e-01]",112
12,0,[36. 11.  9. 34.  5. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],9,"[2082. 2243.  928. 2082. 1987. 1184. 2013. 1987. 1184. 2013. 2243.  928.
 2082. 2243.  928. 2082. 1987. 1184.]","[2067. 2236.  929. 2067. 2115. 1058. 2028. 2115. 1058. 2028. 2229.  926.
 2063. 2238.  924. 2068. 2115. 1058.]","[-1.022e+00 -8.432e+00 -9.362e+01 -6.100e-02 -1.221e-01 -3.662e-01
  1.353e-01  4.300e-02  9.966e-01]",112
13,0,[38. 13.  9. 34.  5.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],10,"[2084. 2243.  928. 2084. 1987. 1184. 2011. 1987. 1184. 2011. 2243.  928.
 2084. 2243.  928. 2084. 1987. 1184.]","[2070. 2236.  930. 2070. 2115. 1057. 2025. 2115. 1057. 2024. 2229.  926.
 2066. 2238.  924. 2071. 2114. 1058.]","[-1.0160e+00 -8.4320e+00 -9.3625e+01 -6.1000e-02 -1.2210e-01 -3.6620e-01
  1.3530e-01  4.3000e-02  9.9660e-01]",112
