count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[ 0. 10. 16. 25. 35. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2059. 2243.  928. 2059. 1984. 1187. 2036. 1984. 1187. 2036. 2243.  928.
 2059. 2243.  928. 2059. 1984. 1187.]","[2048. 2239.  924. 2049. 2114. 1058. 2045. 2114. 1058. 2047. 2229.  926.
 2050. 2236.  930. 2049. 2114. 1058.]","[-2.43900e+00 -8.62000e-01  1.63136e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.66000e-02 -4.83000e-02  9.97600e-01]",121
5,0,[ 0.  9. 15. 23. 36.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2062. 2243.  928. 2062. 1984. 1187. 2033. 1984. 1187. 2033. 2243.  928.
 2062. 2243.  928. 2062. 1984. 1187.]","[2051. 2239.  924. 2051. 2113. 1058. 2043. 2114. 1058. 2044. 2229.  926.
 2053. 2236.  930. 2053. 2114. 1058.]","[-2.43900e+00 -8.57000e-01  1.63136e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.61000e-02 -4.79000e-02  9.97100e-01]",121
6,0,[ 0. 10. 15. 23. 38.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2065. 2243.  928. 2065. 1984. 1187. 2030. 1984. 1187. 2030. 2243.  928.
 2065. 2243.  928. 2065. 1984. 1187.]","[2053. 2239.  924. 2054. 2113. 1058. 2040. 2114. 1058. 2042. 2229.  926.
 2055. 2236.  930. 2055. 2114. 1058.]","[-2.43900e+00 -8.57000e-01  1.63136e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.66000e-02 -4.79000e-02  9.97600e-01]",121
7,0,[ 0. 12. 16. 23. 40.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2067. 2243.  928. 2067. 1985. 1186. 2028. 1985. 1186. 2028. 2243.  928.
 2067. 2243.  928. 2067. 1985. 1186.]","[2057. 2240.  924. 2059. 2114. 1057. 2036. 2114. 1057. 2039. 2229.  926.
 2059. 2236.  930. 2060. 2114. 1057.]","[-2.43900e+00 -8.57000e-01  1.63136e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.71000e-02 -4.74000e-02  9.97600e-01]",121
8,0,[ 4.  6. 15. 23. 44.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2070. 2243.  928. 2070. 1985. 1186. 2025. 1985. 1186. 2025. 2243.  928.
 2070. 2243.  928. 2070. 1985. 1186.]","[2060. 2239.  924. 2061. 2114. 1057. 2033. 2114. 1057. 2036. 2228.  926.
 2062. 2236.  930. 2062. 2114. 1057.]","[-2.43900e+00 -8.57000e-01  1.63136e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.56000e-02 -4.79000e-02  9.97100e-01]",121
9,0,[16. 20. 21. 44. 49. 20.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],6,"[2073. 2243.  928. 2073. 1985. 1186. 2022. 1985. 1186. 2022. 2243.  928.
 2073. 2243.  928. 2073. 1985. 1186.]","[2062. 2239.  924. 2064. 2114. 1057. 2031. 2114. 1057. 2034. 2229.  926.
 2066. 2235.  930. 2064. 2114. 1057.]","[-2.43900e+00 -8.57000e-01  1.63136e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.71000e-02 -4.79000e-02  9.97600e-01]",121
10,0,[20. 25. 26. 48. 55. 23.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],7,"[2076. 2243.  928. 2076. 1986. 1185. 2019. 1986. 1185. 2019. 2243.  928.
 2076. 2243.  928. 2076. 1986. 1185.]","[2066. 2239.  924. 2067. 2114. 1057. 2028. 2115. 1057. 2029. 2229.  926.
 2069. 2236.  930. 2068. 2114. 1057.]","[-2.43900e+00 -8.62000e-01  1.63136e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.66000e-02 -4.79000e-02  9.97600e-01]",121
11,0,[24. 30. 23. 51. 62. 27.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],8,"[2079. 2243.  928. 2079. 1986. 1185. 2016. 1986. 1185. 2016. 2243.  928.
 2079. 2243.  928. 2079. 1986. 1185.]","[2074. 2239.  924. 2073. 2115. 1057. 2022. 2115. 1057. 2023. 2229.  926.
 2075. 2236.  930. 2075. 2115. 1057.]","[-2.37300e+00 -8.57000e-01  1.63103e+02 -5.49300e-01  1.22100e-01
 -1.22100e-01  1.42000e-02 -6.20000e-02  9.88300e-01]",121
12,0,[33. 28. 28. 56. 70. 29.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],9,"[2082. 2243.  928. 2082. 1987. 1184. 2013. 1987. 1184. 2013. 2243.  928.
 2082. 2243.  928. 2082. 1987. 1184.]","[2076. 2239.  924. 2074. 2115. 1057. 2020. 2115. 1057. 2021. 2229.  926.
 2076. 2236.  930. 2077. 2115. 1057.]","[-2.37900e+00 -8.51000e-01  1.63098e+02 -5.49300e-01  1.22100e-01
 -1.22100e-01  1.42000e-02 -6.20000e-02  9.88300e-01]",121
13,0,[40. 32. 31. 58. 75. 34.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],10,"[2084. 2243.  928. 2084. 1987. 1184. 2011. 1987. 1184. 2011. 2243.  928.
 2084. 2243.  928. 2084. 1987. 1184.]","[2078. 2239.  924. 2075. 2115. 1057. 2019. 2115. 1056. 2019. 2229.  926.
 2078. 2236.  930. 2079. 2115. 1056.]","[-2.38400e+00 -8.51000e-01  1.63098e+02 -5.49300e-01  1.22100e-01
  0.00000e+00  6.30000e-03 -8.01000e-02  1.00680e+00]",121
