count,sum_leg,reflex,on_reflex_,traj_error
4,[18.  6.  9. 28. 11.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  1.  3. -1.  1. -1. -1.  0. -2. -2.  2.  4. -1. -1. -2.  1.  2. -1.]
5,[18.  6. 13. 29. 12.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  1.  3. -1.  1. -1.  0.  1. -3. -2.  2.  4.  0. -2. -1.  0.  0. -2.]
6,[18.  6.  9. 30. 12.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  4. -1.  1. -2.  0.  1. -2. -2.  2.  4. -1. -1. -2.  0.  2. -1.]
7,[18.  6.  9. 31. 12.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  1.  2. -2.  0. -2.  1.  1. -3. -3.  2.  4. -2. -1. -1.  0.  0. -1.]
8,[16. 11. 10. 33. 11.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  1.  4. -1.  1. -2. -1.  0. -1. -2.  2.  4. -1. -2. -1.  0.  2. -1.]
9,[17. 12.  9. 33. 11.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  4. -1.  1. -1.  0.  1. -1. -2.  2.  4. -2. -2. -1.  0.  0. -1.]
10,[18. 12.  7. 33. 17.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  4. -1.  0. -1.  1.  0. -2. -3.  2.  5. -1. -2. -1.  0.  1. -2.]
11,[18. 11.  7. 35. 17.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  1.  3. -2.  1. -2.  0.  0. -1. -3.  2.  4. -2. -2. -2.  0.  1. -2.]
12,[19. 11.  5. 35. 19.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  2. -1.  0. -1.  0.  1. -1. -3.  1.  4. -1. -2. -2. -1.  1. -1.]
13,[17. 10.  5. 35. 20.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2.  2. -1.  0.  0.  1.  1. -1. -2.  2.  4. -1. -1. -1.  0.  1. -2.]
14,[16.  5.  5. 35. 18. 11.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2.  3. -1.  0.  0.  1.  0.  0. -2.  2.  4. -2. -1. -1. -1.  1. -1.]
15,[16.  5.  0. 33. 18. 10.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  4.  0.  0.  0.  0.  1. -1. -3.  2.  3. -2. -1. -1. -1.  1. -1.]
16,[17.  0.  0. 32. 16.  9.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  4. -1.  0. -1.  1.  1. -1. -2.  2.  3. -2. -2. -1.  0.  0. -1.]
17,[19.  0.  0. 31. 16.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  4. -1.  0.  0.  1.  1.  0. -2.  2.  2. -1. -1. -1.  0.  0.  0.]
18,[20.  0.  0. 29. 16.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  4. -2.  1.  0.  1.  1.  0. -1.  2.  2. -1. -1. -1. -1.  0.  0.]
19,[20.  0.  4. 26. 15.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  2.  0.  1.  1.  1.  0.  1. -3.  2.  2. -1. -1. -1. -1.  1.  0.]
20,[14.  0.  4. 25. 14.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 3.  0.  4.  1.  0.  0. -2.  0.  0. -3.  2.  1.  1. -1. -1.  1.  0. -1.]
21,[14.  0.  0. 24.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  0.  4. -1.  0.  0.  0.  0.  0.  0.  2.  2. -3. -3.  0.  0.  0.  0.]
22,[14.  0.  0. 15.  6.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-3.  0.  4. -3.  0.  1.  3.  0.  1.  1.  1.  1. -5. -2. -1. -3.  0.  0.]
