count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[33.  9. 13. 75. 43. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2049. 2239.  925. 2049. 2115. 1057. 2046. 2115. 1057. 2047. 2231.  923.
 2048. 2237.  924. 2049. 2115. 1057.]","[2052. 2244.  928. 2051. 2114. 1058. 2043. 2113. 1058. 2043. 2244.  928.
 2051. 2243.  928. 2051. 2113. 1058.]","[ 2.1750e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.8600e-02  3.2200e-02  9.9800e-01]"
5,0,[33.  9. 15. 78. 42. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2050. 2239.  925. 2050. 2115. 1057. 2045. 2115. 1057. 2047. 2232.  923.
 2049. 2237.  924. 2051. 2115. 1057.]","[2054. 2244.  928. 2053. 2114. 1058. 2041. 2114. 1058. 2040. 2244.  928.
 2054. 2243.  928. 2054. 2114. 1058.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.9500e-02  3.1700e-02  9.9660e-01]"
6,0,[33.  9. 18. 82. 41. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2051. 2239.  925. 2052. 2115. 1056. 2043. 2115. 1057. 2046. 2231.  922.
 2051. 2237.  924. 2052. 2115. 1057.]","[2056. 2243.  928. 2055. 2114. 1058. 2039. 2114. 1058. 2039. 2244.  928.
 2056. 2244.  928. 2056. 2114. 1058.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.9500e-02  3.1700e-02  9.9660e-01]"
7,0,[32. 18. 21. 90. 55.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2053. 2239.  925. 2054. 2115. 1057. 2041. 2115. 1057. 2044. 2231.  922.
 2053. 2237.  924. 2054. 2115. 1057.]","[2058. 2243.  928. 2057. 2114. 1058. 2037. 2114. 1057. 2037. 2244.  928.
 2058. 2244.  928. 2058. 2114. 1058.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.9500e-02  3.0300e-02  1.0020e+00]"
8,0,[47. 20. 20. 98. 60. 22.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2055. 2239.  925. 2056. 2116. 1057. 2039. 2116. 1057. 2042. 2232.  922.
 2055. 2237.  924. 2057. 2115. 1057.]","[2060. 2244.  928. 2059. 2114. 1057. 2035. 2114. 1057. 2035. 2244.  928.
 2059. 2244.  928. 2060. 2114. 1058.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.9000e-02  3.3200e-02  9.9170e-01]"
9,0,[ 49.  17.  21. 101.  62.  22.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10.   0. -10.],6,"[2057. 2239.  925. 2058. 2116. 1056. 2037. 2116. 1057. 2022. 2248.  933.
 2057. 2237.  924. 2059. 2115. 1057.]","[2063. 2243.  928. 2061. 2114. 1057. 2033. 2114. 1057. 2033. 2243.  928.
 2062. 2243.  928. 2062. 2114. 1058.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.9000e-02  3.3200e-02  9.9170e-01]"
10,0,[50. 18. 22.  0. 62. 22.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10.   0. -10.],7,"[2060. 2239.  925. 2060. 2116. 1056. 2034. 2115. 1057. 2019. 2253.  939.
 2058. 2237.  924. 2061. 2115. 1057.]","[2064. 2244.  927. 2064. 2114. 1057. 2031. 2114. 1057. 2031. 2244.  928.
 2064. 2244.  928. 2064. 2114. 1058.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.9500e-02  3.4700e-02  9.9660e-01]"
11,0,[49. 20. 21.  0. 63. 21.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10.   0. -10.],8,"[2061. 2239.  925. 2063. 2115. 1057. 2032. 2115. 1057. 2016. 2258.  944.
 2061. 2237.  924. 2063. 2115. 1057.]","[2067. 2244.  928. 2066. 2114. 1057. 2028. 2114. 1057. 2028. 2246.  931.
 2067. 2244.  928. 2068. 2114. 1058.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.8100e-02  3.0800e-02  1.0005e+00]"
12,0,[51. 20. 21.  0. 64. 22.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10.   0. -10.],9,"[2064. 2239.  925. 2065. 2116. 1056. 2029. 2116. 1057. 2013. 2263.  949.
 2064. 2237.  924. 2067. 2115. 1057.]","[2070. 2243.  927. 2069. 2114. 1057. 2026. 2114. 1057. 2025. 2249.  933.
 2070. 2243.  928. 2070. 2114. 1058.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.8100e-02  3.0800e-02  1.0005e+00]"
13,0,[ 50.  21.  20. 132.  65.  22.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10.   0. -10.],10,"[2067. 2240.  925. 2068. 2115. 1056. 2027. 2115. 1057. 2011. 2268.  955.
 2066. 2237.  924. 2069. 2115. 1057.]","[2073. 2243.  928. 2071. 2115. 1057. 2023. 2114. 1057. 2023. 2252.  937.
 2072. 2244.  928. 2073. 2115. 1057.]","[ 2.1810e+00 -1.0050e+00 -9.9201e+01  0.0000e+00  0.0000e+00  0.0000e+00
  1.8600e-02  3.1200e-02  1.0015e+00]"
