count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[  0.  16. 103.   0.   0.  88.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],1,"[2025. 1985. 1186. 2025. 2256.  915. 2070. 2256.  915. 2070. 1985. 1186.
 2025. 1985. 1186. 2025. 2256.  915.]","[2039. 2115. 1056. 2042. 2250.  916. 2053. 2240.  914. 2056. 2114. 1057.
 2039. 2115. 1057. 2041. 2251.  911.]","[ -3.01    -4.268  -64.199    0.       0.       0.       0.0718  -0.0654
   0.9956]",117
5,0,[ 0. 16. 43.  0.  0. 96.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],2,"[2019. 1986. 1185. 2019. 2256.  915. 2076. 2256.  915. 2076. 1986. 1185.
 2019. 1986. 1185. 2019. 2256.  915.]","[2035. 2115. 1057. 2038. 2251.  916. 2057. 2241.  914. 2060. 2115. 1057.
 2035. 2115. 1057. 2037. 2251.  910.]","[-3.0100e+00 -4.2680e+00 -6.4193e+01  1.8310e-01 -6.1000e-02  2.4410e-01
  7.3200e-02 -5.1800e-02  1.0122e+00]",117
6,0,[ 0. 17. 30.  0.  0. 96.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],3,"[2013. 1987. 1184. 2013. 2256.  915. 2082. 2256.  915. 2082. 1987. 1184.
 2013. 1987. 1184. 2013. 2256.  915.]","[2029. 2115. 1057. 2033. 2250.  916. 2063. 2240.  914. 2065. 2114. 1057.
 2030. 2114. 1057. 2032. 2251.  910.]","[-2.9990e+00 -4.2680e+00 -6.4188e+01  7.3240e-01 -6.1000e-02  1.8310e-01
  7.5700e-02 -1.1700e-02  9.9710e-01]",117
7,0,[ 0. 17. 17.  0.  0. 95.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],4,"[2008. 1988. 1183. 2008. 2256.  915. 2087. 2256.  915. 2087. 1988. 1183.
 2008. 1988. 1183. 2008. 2256.  915.]","[2023. 2115. 1056. 2027. 2251.  916. 2069. 2240.  914. 2070. 2115. 1057.
 2024. 2115. 1057. 2026. 2251.  910.]","[-2.9390e+00 -4.2790e+00 -6.4182e+01  7.9350e-01 -1.8310e-01 -6.1000e-02
  9.2800e-02  1.7600e-02  9.9760e-01]",117
8,0,[  0.  18. 140.   0.   0.  93.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],5,"[2002. 1989. 1182. 2002. 2256.  915. 2093. 2256.  915. 2093. 1989. 1182.
 2002. 1989. 1182. 2002. 2256.  915.]","[2017. 2115. 1056. 2020. 2251.  916. 2076. 2240.  914. 2077. 2115. 1055.
 2018. 2116. 1057. 2019. 2251.  910.]","[-2.8950e+00 -4.2850e+00 -6.4199e+01  5.4930e-01  0.0000e+00 -5.4930e-01
  8.8900e-02  3.2700e-02  9.9220e-01]",117
9,0,[  0.  19. 140.   4.   0.  95.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],6,"[1997. 1991. 1180. 1997. 2256.  915. 2098. 2256.  915. 2098. 1991. 1180.
 1997. 1991. 1180. 1997. 2256.  915.]","[2010. 2115. 1055. 2015. 2250.  916. 2083. 2240.  915. 2084. 2115. 1055.
 2010. 2115. 1056. 2011. 2251.  911.]","[-2.8620e+00 -4.2900e+00 -6.4232e+01  0.0000e+00  0.0000e+00 -9.1550e-01
  7.3700e-02  2.2500e-02  9.7360e-01]",117
10,0,[  0.  18. 133.   0.   0.  89.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],7,"[1991. 1992. 1179. 1991. 2256.  915. 2104. 2256.  915. 2104. 1992. 1179.
 1991. 1992. 1179. 1991. 2256.  915.]","[2006. 2116. 1055. 2010. 2250.  916. 2089. 2240.  915. 2088. 2116. 1055.
 2006. 2116. 1055. 2002. 2251.  911.]","[-2.8510e+00 -4.2900e+00 -6.4265e+01 -4.8830e-01  6.1000e-02 -6.7140e-01
  7.1800e-02  3.9000e-03  9.8730e-01]",117
11,0,[  0.  18. 129.   0.   0.  87.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],8,"[1986. 1994. 1177. 1986. 2256.  915. 2109. 2256.  915. 2109. 1994. 1177.
 1986. 1994. 1177. 1986. 2256.  915.]","[2000. 2117. 1054. 2004. 2250.  916. 2097. 2240.  916. 2094. 2117. 1054.
 2001. 2117. 1054. 1997. 2252.  911.]","[-2.8560e+00 -4.2900e+00 -6.4276e+01 -1.0986e+00  6.1000e-02 -1.2210e-01
  7.6200e-02 -3.1700e-02  9.6880e-01]",117
12,0,[  0.  17. 123.   0.   0.  87.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],9,"[1980. 1996. 1175. 1980. 2255.  916. 2115. 2255.  916. 2115. 1996. 1175.
 1980. 1996. 1175. 1980. 2255.  916.]","[1993. 2118. 1052. 1996. 2250.  916. 2105. 2240.  917. 2101. 2118. 1053.
 1994. 2118. 1053. 1991. 2252.  912.]","[-2.9000e+00 -4.3010e+00 -6.4248e+01 -9.1550e-01 -6.1000e-02  5.4930e-01
  1.0600e-01 -7.5200e-02  1.0059e+00]",117
13,0,[  6.  16. 115.   0.   0.  86.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],10,"[1975. 1998. 1173. 1975. 2255.  916. 2120. 2255.  916. 2120. 1998. 1173.
 1975. 1998. 1173. 1975. 2255.  916.]","[1988. 2119. 1051. 1991. 2250.  915. 2109. 2240.  918. 2106. 2119. 1052.
 1989. 2119. 1052. 1985. 2251.  911.]","[-2.9110e+00 -4.3070e+00 -6.4232e+01 -4.8830e-01 -6.1000e-02  6.1000e-02
  8.5000e-02 -7.8600e-02  1.0044e+00]",117
