count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[ 0.  8.  9. 31. 30.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2049. 2239.  925. 2049. 2115. 1057. 2046. 2115. 1057. 2047. 2231.  923.
 2048. 2237.  924. 2049. 2115. 1057.]","[2050. 2238.  924. 2050. 2115. 1057. 2045. 2115. 1056. 2045. 2226.  921.
 2049. 2232.  925. 2051. 2115. 1057.]","[-3.4600e-01 -1.8020e+00  5.8535e+01  0.0000e+00  0.0000e+00  0.0000e+00
  3.3200e-02 -1.1700e-02  9.9800e-01]",119
5,0,[ 0.  7.  7. 30. 29.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2050. 2239.  925. 2050. 2115. 1057. 2045. 2115. 1057. 2047. 2232.  923.
 2049. 2237.  924. 2051. 2115. 1057.]","[2052. 2239.  924. 2052. 2115. 1057. 2043. 2115. 1057. 2043. 2226.  921.
 2051. 2232.  925. 2054. 2115. 1057.]","[-3.4600e-01 -1.8020e+00  5.8535e+01  0.0000e+00  0.0000e+00  0.0000e+00
  3.3200e-02 -1.1700e-02  9.9850e-01]",119
6,0,[ 0.  7.  7. 32. 30.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2051. 2239.  925. 2052. 2115. 1056. 2043. 2115. 1057. 2046. 2231.  922.
 2051. 2237.  924. 2052. 2115. 1057.]","[2053. 2239.  924. 2054. 2115. 1057. 2040. 2115. 1057. 2040. 2226.  921.
 2054. 2232.  926. 2056. 2115. 1057.]","[-3.4600e-01 -1.8020e+00  5.8535e+01  0.0000e+00  0.0000e+00  0.0000e+00
  3.7100e-02 -1.0700e-02  9.9850e-01]",119
7,0,[ 0.  7.  8. 29. 32. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2053. 2239.  925. 2054. 2115. 1057. 2041. 2115. 1057. 2044. 2231.  922.
 2053. 2237.  924. 2054. 2115. 1057.]","[2056. 2239.  924. 2056. 2115. 1057. 2038. 2115. 1057. 2039. 2226.  920.
 2056. 2232.  925. 2058. 2115. 1057.]","[-3.4100e-01 -1.8070e+00  5.8519e+01  1.2210e-01 -6.1000e-02 -2.4410e-01
  2.3400e-02  1.1200e-02  1.0068e+00]",119
8,0,[12.  7.  9. 45. 34. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2055. 2239.  925. 2056. 2116. 1057. 2039. 2116. 1057. 2042. 2232.  922.
 2055. 2237.  924. 2057. 2115. 1057.]","[2057. 2238.  924. 2058. 2115. 1057. 2036. 2115. 1056. 2037. 2226.  920.
 2058. 2232.  925. 2060. 2115. 1057.]","[-3.3000e-01 -1.8130e+00  5.8513e+01  3.0520e-01 -1.2210e-01  0.0000e+00
  2.0500e-02  3.6100e-02  9.9710e-01]",119
9,0,[13.  8. 11. 49. 36. 14.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],6,"[2057. 2239.  925. 2058. 2116. 1056. 2037. 2116. 1057. 2040. 2232.  922.
 2057. 2237.  924. 2059. 2115. 1057.]","[2059. 2239.  924. 2060. 2115. 1057. 2034. 2115. 1057. 2035. 2226.  921.
 2060. 2232.  925. 2062. 2115. 1056.]","[-3.2400e-01 -1.8130e+00  5.8513e+01  3.0520e-01 -1.2210e-01  0.0000e+00
  2.0500e-02  3.6100e-02  9.9710e-01]",119
10,0,[13.  8. 12. 49. 37. 14.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],7,"[2060. 2239.  925. 2060. 2116. 1056. 2034. 2115. 1057. 2037. 2231.  923.
 2058. 2237.  924. 2061. 2115. 1057.]","[2062. 2239.  924. 2063. 2115. 1057. 2031. 2115. 1057. 2032. 2226.  920.
 2063. 2232.  925. 2064. 2115. 1057.]","[-3.0200e-01 -1.8130e+00  5.8519e+01  2.4410e-01  0.0000e+00  6.1000e-02
  3.4700e-02  4.0500e-02  9.9320e-01]",119
11,0,[13.  9. 12. 50. 38. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],8,"[2061. 2239.  925. 2063. 2115. 1057. 2032. 2115. 1057. 2034. 2231.  923.
 2061. 2237.  924. 2063. 2115. 1057.]","[2064. 2239.  924. 2065. 2115. 1057. 2029. 2115. 1057. 2030. 2226.  920.
 2065. 2232.  925. 2067. 2115. 1057.]","[-2.9100e-01 -1.8130e+00  5.8519e+01  0.0000e+00  6.1000e-02  6.1000e-02
  4.2000e-02  3.6600e-02  9.9020e-01]",119
12,0,[13.  9. 12. 50. 39. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],9,"[2064. 2239.  925. 2065. 2116. 1056. 2029. 2116. 1057. 2032. 2231.  923.
 2064. 2237.  924. 2067. 2115. 1057.]","[2067. 2238.  924. 2068. 2115. 1056. 2026. 2115. 1057. 2027. 2226.  920.
 2068. 2232.  925. 2070. 2115. 1057.]","[-2.8000e-01 -1.8070e+00  5.8519e+01  0.0000e+00  6.1000e-02  6.1000e-02
  4.2000e-02  3.6600e-02  9.9020e-01]",119
13,0,[14. 10. 12. 50. 40. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],10,"[2067. 2240.  925. 2068. 2115. 1056. 2027. 2115. 1057. 2029. 2231.  922.
 2066. 2237.  924. 2069. 2115. 1057.]","[2070. 2238.  924. 2071. 2116. 1056. 2023. 2115. 1056. 2025. 2226.  921.
 2071. 2232.  926. 2073. 2115. 1056.]","[-2.7500e-01 -1.8070e+00  5.8524e+01 -3.0520e-01  6.1000e-02  0.0000e+00
  4.3000e-02  2.4900e-02  9.9660e-01]",119
14,0,[15. 11. 13. 48. 43. 14.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],11,"[2070. 2239.  925. 2070. 2116. 1057. 2024. 2116. 1057. 2027. 2231.  923.
 2069. 2237.  924. 2072. 2115. 1057.]","[2073. 2239.  924. 2073. 2115. 1057. 2021. 2115. 1057. 2021. 2226.  921.
 2074. 2232.  925. 2075. 2116. 1057.]","[-2.7500e-01 -1.8070e+00  5.8524e+01 -3.0520e-01  6.1000e-02  0.0000e+00
  4.3000e-02  2.4900e-02  9.9660e-01]",119
15,0,[16. 11. 13. 48. 43. 14.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],12,"[2072. 2240.  925. 2073. 2116. 1056. 2021. 2116. 1057. 2023. 2232.  923.
 2072. 2237.  924. 2075. 2116. 1056.]","[2076. 2238.  924. 2077. 2116. 1056. 2018. 2116. 1056. 2019. 2226.  920.
 2077. 2232.  926. 2078. 2116. 1056.]","[-2.6900e-01 -1.8070e+00  5.8519e+01 -2.4410e-01  6.1000e-02 -1.8310e-01
  3.2700e-02  8.3000e-03  1.0029e+00]",119
16,0,[17. 13. 13. 49. 45. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],13,"[2076. 2239.  925. 2076. 2116. 1056. 2018. 2116. 1056. 2020. 2232.  923.
 2075. 2237.  924. 2077. 2116. 1057.]","[2079. 2239.  924. 2079. 2116. 1056. 2015. 2116. 1056. 2015. 2226.  921.
 2079. 2232.  925. 2081. 2116. 1056.]","[-2.6400e-01 -1.8020e+00  5.8513e+01 -1.8310e-01  1.2210e-01 -1.2210e-01
  2.2000e-02 -4.9000e-03  9.9320e-01]",119
17,0,[17. 13. 13. 49. 45. 14.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],14,"[2079. 2240.  925. 2078. 2116. 1056. 2016. 2116. 1056. 2017. 2231.  923.
 2077. 2237.  924. 2080. 2116. 1056.]","[2082. 2238.  924. 2083. 2116. 1055. 2012. 2116. 1056. 2011. 2226.  921.
 2083. 2232.  926. 2084. 2116. 1056.]","[-2.5800e-01 -1.8020e+00  5.8508e+01 -1.8310e-01  1.2210e-01 -1.2210e-01
  2.2000e-02 -4.9000e-03  9.9320e-01]",119
18,0,[17. 15. 13. 52. 46. 14.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],15,"[2082. 2239.  925. 2082. 2116. 1056. 2013. 2116. 1056. 2011. 2232.  923.
 2081. 2237.  924. 2083. 2116. 1056.]","[2085. 2238.  924. 2085. 2116. 1055. 2010. 2116. 1055. 2008. 2226.  921.
 2086. 2232.  926. 2087. 2116. 1056.]","[-2.5800e-01 -1.7960e+00  5.8508e+01 -2.4410e-01  1.8310e-01  6.1000e-02
  2.5400e-02 -1.9500e-02  1.0024e+00]",119
