count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[  4.  17. 127.  10.  10.  98.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],1,"[2025. 1985. 1186. 2025. 2256.  915. 2070. 2256.  915. 2070. 1985. 1186.
 2025. 1985. 1186. 2025. 2256.  915.]","[2042. 2113. 1057. 2044. 2251.  914. 2050. 2244.  911. 2051. 2114. 1058.
 2043. 2114. 1058. 2043. 2252.  910.]",[-3.186  -4.68   -6.823   0.      0.      0.      0.083  -0.0605  0.9946],115
5,0,[ 5. 16. 61.  8. 11. 99.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],2,"[2019. 1986. 1185. 2019. 2256.  915. 2076. 2256.  915. 2076. 1986. 1185.
 2019. 1986. 1185. 2019. 2256.  915.]","[2035. 2114. 1057. 2037. 2251.  914. 2056. 2243.  911. 2059. 2114. 1058.
 2036. 2114. 1058. 2037. 2252.  910.]",[-3.186  -4.686  -6.823   0.      0.      0.      0.084  -0.061   0.9937],115
6,0,[14. 24. 58. 21. 10. 99.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],3,"[2013. 1987. 1184. 2013. 2256.  915. 2082. 2256.  915. 2082. 1987. 1184.
 2013. 1987. 1184. 2013. 2256.  915.]","[2030. 2114. 1057. 2033. 2251.  914. 2062. 2245.  912. 2064. 2115. 1058.
 2030. 2114. 1058. 2031. 2252.  910.]",[-3.186  -4.686  -6.823   0.      0.      0.      0.0835 -0.061   0.9941],115
7,0,[14. 24. 59. 20. 21. 88.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],4,"[2008. 1988. 1183. 2008. 2256.  915. 2087. 2256.  915. 2087. 1988. 1183.
 2008. 1988. 1183. 2008. 2256.  915.]","[2024. 2114. 1057. 2026. 2251.  914. 2068. 2247.  915. 2070. 2114. 1058.
 2024. 2115. 1057. 2025. 2252.  910.]",[-3.192  -4.686  -6.823   0.      0.      0.      0.0825 -0.061   0.9941],115
8,0,[ 12.  17. 237.  18.   9.  88.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],5,"[2002. 1989. 1182. 2002. 2256.  915. 2093. 2256.  915. 2093. 1989. 1182.
 2002. 1989. 1182. 2002. 2256.  915.]","[2018. 2114. 1057. 2020. 2251.  914. 2075. 2251.  918. 2076. 2115. 1058.
 2019. 2115. 1057. 2019. 2252.  910.]",[-3.192  -4.691  -6.823   0.      0.      0.      0.084  -0.061   0.9937],115
9,0,[  5.  18. 262.  11.   6.  89.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],6,"[1997. 1991. 1180. 1997. 2256.  915. 2098. 2256.  915. 2098. 1991. 1180.
 1997. 1991. 1180. 1997. 2256.  915.]","[2012. 2115. 1056. 2015. 2252.  913. 2083. 2255.  921. 2083. 2115. 1057.
 2012. 2115. 1056. 2012. 2252.  910.]",[-3.192  -4.691  -6.823   0.      0.      0.      0.0835 -0.061   0.9946],115
10,0,[  5.  18. 277.   5.   0.  89.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],7,"[1991. 1992. 1179. 1991. 2256.  915. 2104. 2256.  915. 2104. 1992. 1179.
 1991. 1992. 1179. 1991. 2256.  915.]","[2006. 2116. 1055. 2009. 2252.  913. 2090. 2258.  926. 2088. 2115. 1055.
 2007. 2116. 1055. 2003. 2252.  910.]",[-3.192  -4.691  -6.823   0.      0.      0.      0.084  -0.0605  0.9946],115
11,0,[  0.  26. 285.   5.   0.  89.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],8,"[1986. 1994. 1177. 1986. 2256.  915. 2109. 2256.  915. 2109. 1994. 1177.
 1986. 1994. 1177. 1986. 2256.  915.]","[1999. 2117. 1054. 2001. 2251.  913. 2099. 2265.  932. 2095. 2117. 1054.
 1999. 2117. 1054. 1995. 2252.  910.]",[-3.192  -4.691  -6.823   0.      0.      0.      0.0835 -0.0605  0.9951],115
12,0,[  0.  29. 282.   0.   0.  90.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],9,"[1980. 1996. 1175. 1980. 2255.  916. 2115. 2255.  916. 2115. 1996. 1175.
 1980. 1996. 1175. 1980. 2255.  916.]","[1993. 2118. 1053. 1993. 2251.  913. 2103. 2269.  937. 2101. 2118. 1053.
 1994. 2118. 1054. 1990. 2253.  910.]",[-3.087  -4.625  -6.844  -1.3428  0.6104  0.1221  0.0767 -0.0732  1.0176],115
13,0,[  0.  31. 280.   0.   0.  90.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],10,"[1975. 1998. 1173. 1975. 2255.  916. 2120. 2255.  916. 2120. 1998. 1173.
 1975. 1998. 1173. 1975. 2255.  916.]","[1990. 2119. 1052. 1990. 2251.  913. 2107. 2272.  940. 2103. 2119. 1052.
 1991. 2119. 1052. 1987. 2253.  910.]",[-3.115  -4.592  -6.828  -0.9155  0.9766  0.4883  0.0737 -0.0942  0.9849],115
14,0,[  0.  32. 282.   0.   0.  92.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],11,"[1969. 2001. 1170. 1969. 2255.  916. 2126. 2255.  916. 2126. 2001. 1170.
 1969. 2001. 1170. 1969. 2255.  916.]","[1985. 2120. 1051. 1984. 2251.  913. 2112. 2277.  945. 2109. 2120. 1051.
 1985. 2120. 1051. 1981. 2253.  910.]",[-3.153  -4.565  -6.812  -1.1597  0.7324  0.5493  0.0776 -0.1328  0.9932],115
15,0,[  0.  44. 285.   0.   0.  94.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],12,"[1964. 2003. 1168. 1964. 2255.  916. 2131. 2255.  916. 2131. 2003. 1168.
 1964. 2003. 1168. 1964. 2255.  916.]","[1979. 2121. 1050. 1978. 2251.  913. 2118. 2283.  950. 2116. 2121. 1050.
 1979. 2121. 1050. 1976. 2253.  910.]",[-3.197  -4.532  -6.795  -1.0376  0.7935  0.3662  0.0693 -0.1411  1.021 ],115
16,0,[  0.  43. 293.   0.   0.  95.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],13,"[1959. 2006. 1165. 1959. 2255.  916. 2136. 2255.  916. 2136. 2006. 1165.
 1959. 2006. 1165. 1959. 2255.  916.]","[1973. 2122. 1049. 1975. 2251.  913. 2123. 2289.  955. 2121. 2122. 1049.
 1973. 2122. 1049. 1971. 2253.  910.]",[-3.219  -4.493  -6.784   0.061   1.0986  0.2441  0.0835 -0.1338  1.022 ],115
17,0,[  0.  38. 297.   0.   0.  96.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],14,"[1954. 2009. 1162. 1954. 2255.  916. 2141. 2255.  916. 2141. 2009. 1162.
 1954. 2009. 1162. 1954. 2255.  916.]","[1968. 2123. 1048. 1970. 2252.  913. 2128. 2294.  960. 2125. 2123. 1048.
 1968. 2123. 1048. 1966. 2253.  910.]",[-3.208  -4.449  -6.784   0.8545  1.0376  0.      0.0801 -0.1162  0.9873],115
18,0,[  0.  37. 296.   0.   6. 100.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],15,"[1949. 2012. 1159. 1949. 2255.  916. 2146. 2255.  916. 2146. 2012. 1159.
 1949. 2012. 1159. 1949. 2255.  916.]","[1962. 2124. 1046. 1965. 2251.  913. 2132. 2299.  964. 2131. 2125. 1047.
 1963. 2124. 1047. 1961. 2253.  910.]",[-3.203  -4.411  -6.79    0.6104  0.9766 -0.2441  0.0684 -0.0752  0.9824],115
19,0,[  0.  36. 296.   0.   6. 100.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],16,"[1944. 2015. 1156. 1944. 2254.  916. 2151. 2254.  916. 2151. 2015. 1156.
 1944. 2015. 1156. 1944. 2254.  916.]","[1957. 2126. 1045. 1959. 2251.  913. 2136. 2304.  969. 2136. 2126. 1045.
 1958. 2126. 1045. 1956. 2253.  910.]",[-3.192  -4.351  -6.801   0.5493  1.2207  0.1831  0.0742 -0.0269  0.9893],115
20,0,[  0.  36. 299.   0.   0.  96.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],17,"[1939. 2018. 1153. 1939. 2254.  917. 2156. 2254.  917. 2156. 2018. 1153.
 1939. 2018. 1153. 1939. 2254.  917.]","[1952. 2127. 1044. 1954. 2251.  913. 2141. 2310.  974. 2141. 2128. 1044.
 1953. 2128. 1044. 1951. 2253.  910.]",[-3.186  -4.301  -6.795   0.      1.0376  0.1831  0.085  -0.0225  0.9658],115
21,0,[  0.  40. 302.   0.   0.  96.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],18,"[1934. 2022. 1149. 1934. 2254.  917. 2161. 2254.  917. 2161. 2022. 1149.
 1934. 2022. 1149. 1934. 2254.  917.]","[1948. 2130. 1042. 1949. 2251.  913. 2147. 2315.  980. 2147. 2129. 1042.
 1948. 2129. 1042. 1946. 2253.  910.]",[-3.203  -4.263  -6.79   -0.5493  0.9155  0.2441  0.0923 -0.0166  1.0044],115
22,0,[  0.  44. 304.   0.   0.  97.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],19,"[1929. 2025. 1146. 1929. 2254.  917. 2166. 2254.  917. 2166. 2025. 1146.
 1929. 2025. 1146. 1929. 2254.  917.]","[1942. 2131. 1040. 1944. 2252.  913. 2154. 2320.  985. 2151. 2131. 1041.
 1943. 2131. 1041. 1941. 2253.  910.]",[-3.219  -4.224  -6.79   -0.4272  0.9766  0.061   0.0991 -0.0293  0.9922],115
23,0,[  0.  47. 301.   0.   0.  98.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10.   0. -10. -10. -10. -10.],20,"[1924. 2029. 1142. 1924. 2254.  917. 2171. 2254.  917. 2171. 2029. 1142.
 1924. 2029. 1142. 1924. 2254.  917.]","[1937. 2133. 1039. 1938. 2251.  913. 2159. 2325.  990. 2156. 2133. 1039.
 1938. 2132. 1039. 1935. 2253.  911.]",[-3.224  -4.197  -6.795  -0.2441  0.9155 -0.4272  0.0903 -0.0439  0.9946],115
