count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[ 0.  0. 32.  0.  0.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2039. 2115. 1056. 2042. 2246.  916. 2053. 2230.  928. 2056. 2115. 1055.
 2039. 2115. 1057. 2039. 2238.  919.]","[2039. 2115. 1057. 2042. 2246.  915. 2052. 2221.  928. 2055. 2115. 1057.
 2040. 2115. 1057. 2039. 2237.  919.]",[-2.346  -4.477  10.58    0.      0.      0.      0.0801 -0.0469  0.9951],116
5,0,[ 0.  0. 33.  0.  0.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2034. 2115. 1057. 2037. 2246.  915. 2057. 2229.  928. 2061. 2115. 1057.
 2034. 2115. 1057. 2036. 2238.  919.]","[2033. 2115. 1057. 2037. 2246.  915. 2057. 2221.  928. 2061. 2115. 1057.
 2033. 2115. 1057. 2035. 2237.  919.]","[-2.3180e+00 -4.4710e+00  1.0596e+01  7.9350e-01  0.0000e+00  3.0520e-01
  8.1100e-02  3.4000e-03  9.9660e-01]",116
6,0,[ 0.  0. 33.  0.  0.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2029. 2115. 1057. 2032. 2246.  915. 2062. 2229.  928. 2066. 2115. 1057.
 2029. 2115. 1057. 2031. 2238.  920.]","[2030. 2115. 1057. 2033. 2246.  915. 2061. 2221.  928. 2065. 2115. 1055.
 2030. 2116. 1057. 2031. 2237.  919.]","[-2.3020e+00 -4.4710e+00  1.0607e+01  7.9350e-01  0.0000e+00  3.0520e-01
  8.1100e-02  3.4000e-03  9.9660e-01]",116
7,0,[ 0.  0. 33.  0.  0.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2023. 2115. 1056. 2026. 2246.  916. 2067. 2229.  928. 2071. 2115. 1055.
 2024. 2115. 1057. 2025. 2238.  919.]","[2024. 2115. 1056. 2027. 2246.  916. 2067. 2221.  929. 2070. 2115. 1055.
 2024. 2115. 1057. 2025. 2237.  919.]",[-2.28   -4.471  10.624  -0.3052 -0.1221  0.3052  0.0781  0.0254  1.0015],116
8,0,[ 0.  0. 33.  0.  0.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2016. 2116. 1056. 2020. 2246.  915. 2074. 2229.  928. 2078. 2115. 1057.
 2017. 2115. 1057. 2016. 2238.  919.]","[2018. 2116. 1056. 2021. 2245.  916. 2072. 2221.  929. 2076. 2115. 1055.
 2019. 2115. 1056. 2017. 2237.  919.]","[-2.2690e+00 -4.4710e+00  1.0635e+01  0.0000e+00  0.0000e+00  4.2720e-01
  8.9400e-02  6.8000e-03  9.9710e-01]",116
9,0,[ 0.  0. 32.  0.  0.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],6,"[2011. 2116. 1055. 2016. 2246.  916. 2079. 2229.  928. 2083. 2115. 1057.
 2013. 2115. 1056. 2011. 2237.  919.]","[2012. 2116. 1055. 2016. 2246.  916. 2078. 2221.  929. 2083. 2115. 1055.
 2013. 2116. 1056. 2009. 2237.  919.]",[-2.252  -4.477  10.651   0.061  -0.061   0.2441  0.0942  0.0181  0.9961],116
10,0,[ 5.  0. 32.  0.  0.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],7,"[2007. 2116. 1055. 2010. 2246.  916. 2084. 2229.  928. 2088. 2116. 1055.
 2007. 2116. 1055. 2003. 2238.  919.]","[2006. 2116. 1055. 2009. 2246.  916. 2084. 2221.  929. 2088. 2116. 1055.
 2007. 2116. 1055. 2003. 2237.  920.]","[-2.2300e+00 -4.4770e+00  1.0657e+01 -2.4410e-01  0.0000e+00  0.0000e+00
  9.1800e-02 -4.9000e-03  9.7900e-01]",116
11,0,[ 0.  0. 36.  0.  0.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],8,"[2001. 2117. 1054. 2005. 2246.  916. 2090. 2229.  929. 2093. 2117. 1054.
 2001. 2117. 1054. 1998. 2238.  919.]","[2000. 2117. 1054. 2003. 2246.  916. 2090. 2221.  928. 2094. 2117. 1054.
 2001. 2117. 1054. 1998. 2237.  920.]",[-2.23   -4.482  10.657  -0.8545 -0.061   0.      0.0796 -0.02    0.9912],116
12,0,[ 0.  0. 32.  0.  0.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],9,"[1996. 2118. 1053. 1998. 2246.  916. 2096. 2229.  929. 2099. 2118. 1053.
 1996. 2118. 1054. 1992. 2238.  919.]","[1993. 2118. 1052. 1996. 2245.  915. 2098. 2221.  928. 2101. 2118. 1053.
 1994. 2118. 1053. 1991. 2237.  919.]",[-2.247  -4.488  10.662  -0.9766 -0.061   0.061   0.0913 -0.0518  0.9893],116
13,0,[ 0.  0. 32.  0.  0.  0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],10,"[1990. 2119. 1052. 1993. 2246.  916. 2102. 2229.  929. 2104. 2119. 1052.
 1991. 2119. 1052. 1987. 2238.  920.]","[1989. 2119. 1052. 1991. 2245.  915. 2103. 2221.  929. 2105. 2119. 1052.
 1989. 2119. 1052. 1986. 2237.  919.]",[-2.28   -4.499  10.657  -0.6104  0.     -0.1831  0.0835 -0.0903  1.002 ],116
