count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[ 6.  0.  0. 22. 25.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2059. 2243.  928. 2059. 1984. 1187. 2036. 1984. 1187. 2036. 2243.  928.
 2059. 2243.  928. 2059. 1984. 1187.]","[2051. 2239.  925. 2050. 2114. 1057. 2045. 2115. 1057. 2046. 2229.  925.
 2048. 2236.  929. 2050. 2114. 1057.]","[-9.1200e-01 -2.5490e+00  5.6058e+01  0.0000e+00  0.0000e+00  0.0000e+00
  4.5400e-02 -2.1500e-02  9.9760e-01]",117
5,0,[ 6.  0.  0. 20. 25.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2062. 2243.  928. 2062. 1984. 1187. 2033. 1984. 1187. 2033. 2243.  928.
 2062. 2243.  928. 2062. 1984. 1187.]","[2051. 2239.  924. 2051. 2115. 1057. 2043. 2115. 1057. 2044. 2230.  925.
 2050. 2236.  929. 2052. 2114. 1056.]","[-9.1200e-01 -2.5540e+00  5.6058e+01  0.0000e+00  0.0000e+00  0.0000e+00
  4.7400e-02 -2.1500e-02  9.9850e-01]",117
6,0,[ 5.  0.  6. 19. 25.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2065. 2243.  928. 2065. 1984. 1187. 2030. 1984. 1187. 2030. 2243.  928.
 2065. 2243.  928. 2065. 1984. 1187.]","[2052. 2240.  924. 2054. 2115. 1057. 2041. 2115. 1056. 2043. 2229.  925.
 2052. 2236.  929. 2054. 2114. 1057.]","[-9.0600e-01 -2.5540e+00  5.6058e+01  6.1000e-02 -6.1000e-02  0.0000e+00
  4.5900e-02 -2.9000e-03  1.0049e+00]",117
7,0,[ 5.  5.  7. 19. 25.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2067. 2243.  928. 2067. 1985. 1186. 2028. 1985. 1186. 2028. 2243.  928.
 2067. 2243.  928. 2067. 1985. 1186.]","[2055. 2239.  925. 2056. 2115. 1056. 2039. 2115. 1057. 2041. 2230.  926.
 2054. 2236.  929. 2056. 2114. 1057.]","[-9.0600e-01 -2.5540e+00  5.6058e+01  6.1000e-02 -6.1000e-02  0.0000e+00
  4.5900e-02 -2.9000e-03  1.0049e+00]",117
8,0,[ 6.  6.  7. 28. 24. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2070. 2243.  928. 2070. 1985. 1186. 2025. 1985. 1186. 2025. 2243.  928.
 2070. 2243.  928. 2070. 1985. 1186.]","[2057. 2239.  925. 2058. 2115. 1056. 2037. 2115. 1057. 2039. 2229.  925.
 2056. 2236.  929. 2058. 2114. 1057.]","[-9.0100e-01 -2.5600e+00  5.6058e+01  2.4410e-01 -1.2210e-01 -1.2210e-01
  3.7600e-02  1.0700e-02  9.9900e-01]",117
9,0,[ 6.  7.  8. 32. 28. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],6,"[2073. 2243.  928. 2073. 1985. 1186. 2022. 1985. 1186. 2022. 2243.  928.
 2073. 2243.  928. 2073. 1985. 1186.]","[2060. 2239.  924. 2060. 2115. 1056. 2034. 2115. 1056. 2037. 2229.  926.
 2058. 2236.  929. 2061. 2114. 1057.]","[-8.9000e-01 -2.5600e+00  5.6052e+01  2.4410e-01 -1.2210e-01 -1.2210e-01
  3.7600e-02  1.0700e-02  9.9900e-01]",117
10,0,[ 8.  8.  9. 35. 28. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],7,"[2076. 2243.  928. 2076. 1986. 1185. 2019. 1986. 1185. 2019. 2243.  928.
 2076. 2243.  928. 2076. 1986. 1185.]","[2062. 2239.  924. 2063. 2115. 1057. 2032. 2115. 1057. 2034. 2229.  925.
 2061. 2236.  929. 2063. 2114. 1057.]","[-8.8400e-01 -2.5600e+00  5.6052e+01  1.8310e-01  0.0000e+00  0.0000e+00
  4.3000e-02  3.6100e-02  9.8930e-01]",117
11,0,[ 9.  9.  9. 34. 30. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],8,"[2079. 2243.  928. 2079. 1986. 1185. 2016. 1986. 1185. 2016. 2243.  928.
 2079. 2243.  928. 2079. 1986. 1185.]","[2065. 2239.  925. 2065. 2115. 1057. 2029. 2115. 1057. 2032. 2230.  925.
 2063. 2236.  929. 2067. 2114. 1056.]","[-8.6200e-01 -2.5600e+00  5.6052e+01  6.1000e-02  0.0000e+00  0.0000e+00
  5.0300e-02  4.2500e-02  1.0000e+00]",117
12,0,[11.  9. 10. 31. 31. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],9,"[2082. 2243.  928. 2082. 1987. 1184. 2013. 1987. 1184. 2013. 2243.  928.
 2082. 2243.  928. 2082. 1987. 1184.]","[2068. 2239.  924. 2068. 2115. 1057. 2026. 2115. 1056. 2029. 2229.  925.
 2066. 2236.  929. 2069. 2115. 1057.]","[-8.5700e-01 -2.5600e+00  5.6052e+01  6.1000e-02  0.0000e+00  0.0000e+00
  5.0300e-02  4.2500e-02  1.0000e+00]",117
13,0,[13. 10. 11. 29. 32. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],10,"[2084. 2243.  928. 2084. 1987. 1184. 2011. 1987. 1184. 2011. 2243.  928.
 2084. 2243.  928. 2084. 1987. 1184.]","[2072. 2240.  924. 2071. 2115. 1056. 2024. 2116. 1056. 2026. 2229.  926.
 2069. 2236.  929. 2072. 2115. 1056.]","[-8.4600e-01 -2.5600e+00  5.6052e+01 -6.1000e-02  6.1000e-02  0.0000e+00
  5.2700e-02  3.2700e-02  9.9070e-01]",117
