count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
4,0,[34.  9. 15. 33. 17. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2059. 2243.  928. 2059. 1984. 1187. 2036. 1984. 1187. 2036. 2243.  928.
 2059. 2243.  928. 2059. 1984. 1187.]","[2049. 2235.  929. 2049. 2113. 1058. 2045. 2114. 1058. 2043. 2228.  924.
 2047. 2239.  923. 2050. 2113. 1058.]","[-3.17500e+00 -6.65000e-01  1.60258e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.32000e-02 -6.10000e-02  9.97100e-01]",122
5,0,[33. 10. 13. 32. 17. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2062. 2243.  928. 2062. 1984. 1187. 2033. 1984. 1187. 2033. 2243.  928.
 2062. 2243.  928. 2062. 1984. 1187.]","[2051. 2235.  929. 2051. 2113. 1058. 2043. 2114. 1058. 2042. 2227.  924.
 2049. 2239.  923. 2051. 2114. 1058.]","[-3.17500e+00 -6.65000e-01  1.60258e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.61000e-02 -5.91000e-02  9.97100e-01]",122
6,0,[32. 11. 14. 35. 12. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2065. 2243.  928. 2065. 1984. 1187. 2030. 1984. 1187. 2030. 2243.  928.
 2065. 2243.  928. 2065. 1984. 1187.]","[2052. 2235.  928. 2053. 2114. 1058. 2041. 2114. 1058. 2040. 2227.  924.
 2051. 2239.  923. 2053. 2113. 1058.]","[-3.17500e+00 -6.65000e-01  1.60258e+02  0.00000e+00  0.00000e+00
  0.00000e+00  1.61000e-02 -5.91000e-02  9.97100e-01]",122
7,0,[32. 12. 15. 38. 12. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2067. 2243.  928. 2067. 1985. 1186. 2028. 1985. 1186. 2028. 2243.  928.
 2067. 2243.  928. 2067. 1985. 1186.]","[2055. 2235.  928. 2056. 2113. 1057. 2039. 2114. 1057. 2038. 2228.  924.
 2053. 2239.  923. 2055. 2114. 1058.]","[-3.17000e+00 -6.65000e-01  1.60258e+02  1.83100e-01 -1.22100e-01
 -1.22100e-01  1.66000e-02 -2.98000e-02  1.01560e+00]",122
8,0,[30.  7. 11. 42. 12. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2070. 2243.  928. 2070. 1985. 1186. 2025. 1985. 1186. 2025. 2243.  928.
 2070. 2243.  928. 2070. 1985. 1186.]","[2057. 2235.  929. 2058. 2114. 1057. 2036. 2114. 1057. 2036. 2228.  924.
 2055. 2239.  923. 2058. 2114. 1058.]","[-3.17000e+00 -6.70000e-01  1.60258e+02  1.83100e-01 -1.22100e-01
 -1.22100e-01  1.66000e-02 -2.98000e-02  1.01560e+00]",122
9,0,[36. 13. 14. 46. 12.  9.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],6,"[2073. 2243.  928. 2073. 1985. 1186. 2022. 1985. 1186. 2022. 2243.  928.
 2073. 2243.  928. 2073. 1985. 1186.]","[2059. 2234.  929. 2061. 2114. 1057. 2034. 2114. 1057. 2033. 2228.  924.
 2058. 2239.  923. 2061. 2114. 1057.]","[-3.15300e+00 -6.76000e-01  1.60252e+02  4.88300e-01 -2.44100e-01
 -3.05200e-01  7.30000e-03 -8.30000e-03  9.93700e-01]",122
10,0,[38. 15. 16. 48. 12. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],7,"[2076. 2243.  928. 2076. 1986. 1185. 2019. 1986. 1185. 2019. 2243.  928.
 2076. 2243.  928. 2076. 1986. 1185.]","[2062. 2235.  929. 2063. 2114. 1057. 2031. 2114. 1057. 2030. 2228.  924.
 2060. 2239.  923. 2063. 2114. 1057.]","[-3.13700e+00 -6.76000e-01  1.60247e+02  4.88300e-01 -2.44100e-01
 -3.05200e-01  7.30000e-03 -8.30000e-03  9.93700e-01]",122
11,0,[40. 18. 17. 47. 12. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],8,"[2079. 2243.  928. 2079. 1986. 1185. 2016. 1986. 1185. 2016. 2243.  928.
 2079. 2243.  928. 2079. 1986. 1185.]","[2065. 2235.  929. 2066. 2114. 1057. 2028. 2114. 1057. 2027. 2228.  924.
 2063. 2239.  923. 2067. 2114. 1057.]","[-3.11500e+00 -6.81000e-01  1.60241e+02  3.05200e-01 -6.10000e-02
 -1.22100e-01  4.90000e-03  9.80000e-03  9.82400e-01]",122
12,0,[43. 18. 19. 47. 12. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],9,"[2082. 2243.  928. 2082. 1987. 1184. 2013. 1987. 1184. 2013. 2243.  928.
 2082. 2243.  928. 2082. 1987. 1184.]","[2068. 2235.  929. 2068. 2114. 1057. 2026. 2114. 1057. 2024. 2227.  924.
 2066. 2239.  923. 2070. 2114. 1057.]","[-3.10900e+00 -6.81000e-01  1.60241e+02 -1.83100e-01  0.00000e+00
  1.22100e-01  6.30000e-03  1.22000e-02  9.94100e-01]",122
13,0,[45. 19. 19. 48. 19. 15.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],10,"[2084. 2243.  928. 2084. 1987. 1184. 2011. 1987. 1184. 2011. 2243.  928.
 2084. 2243.  928. 2084. 1987. 1184.]","[2071. 2235.  928. 2071. 2115. 1057. 2023. 2114. 1057. 2022. 2227.  924.
 2069. 2239.  923. 2072. 2114. 1057.]","[-3.10400e+00 -6.76000e-01  1.60247e+02 -1.83100e-01  0.00000e+00
  1.22100e-01  6.30000e-03  1.22000e-02  9.94100e-01]",122
